,case,rmse,privacy,real,uniform,nclasses,uniform_original
9504,2tfNone_14_uniform,17.19252733020952,2,t,0,14,1
9505,2ff_14_uniform,36.51668139669468,2,f,0,14,1
9506,2ft_14_uniform,30.83018001893599,2,f,1,14,1
9507,2tt_14_uniform,23.78024390118823,2,t,1,14,1
9508,2mf_14_uniform,22.349051003346318,2,m,0,14,1
9509,2mt_14_uniform,27.955321496988727,2,m,1,14,1
9510,2tfNone_14_uniform,33.46632824198085,2,t,0,14,1
9511,2ff_14_uniform,18.628438809628275,2,f,0,14,1
9512,2ft_14_uniform,36.15936946352909,2,f,1,14,1
9513,2tt_14_uniform,17.08800749063506,2,t,1,14,1
9514,2mf_14_uniform,18.49245001751057,2,m,0,14,1
9515,2mt_14_uniform,25.64176280991617,2,m,1,14,1
9516,2tfNone_14_uniform,13.87631882020596,2,t,0,14,1
9517,2ff_14_uniform,20.05664864048801,2,f,0,14,1
9518,2ft_14_uniform,35.888716889852724,2,f,1,14,1
9519,2tt_14_uniform,25.612496949731394,2,t,1,14,1
9520,2mf_14_uniform,18.99530535836442,2,m,0,14,1
9521,2mt_14_uniform,37.94074327158075,2,m,1,14,1
9522,2tfNone_14_uniform,33.71320853908741,2,t,0,14,1
9523,2ff_14_uniform,15.46249078742733,2,f,0,14,1
9524,2ft_14_uniform,42.053537306628556,2,f,1,14,1
9525,2tt_14_uniform,21.656407827707714,2,t,1,14,1
9526,2mf_14_uniform,27.11817112491185,2,m,0,14,1
9527,2mt_14_uniform,32.61901286060018,2,m,1,14,1
9528,2tfNone_14_uniform,24.209234477777212,2,t,0,14,1
9529,2ff_14_uniform,29.861979570815738,2,f,0,14,1
9530,2ft_14_uniform,22.20360331117452,2,f,1,14,1
9531,2tt_14_uniform,26.65520587052368,2,t,1,14,1
9532,2mf_14_uniform,22.593652030067936,2,m,0,14,1
9533,2mt_14_uniform,46.79743582719036,2,m,1,14,1
9534,2tfNone_14_uniform,17.644067501570962,2,t,0,14,1
9535,2ff_14_uniform,27.044443997132376,2,f,0,14,1
9536,2ft_14_uniform,30.422031490352513,2,f,1,14,1
9537,2tt_14_uniform,17.073371078963874,2,t,1,14,1
9538,2mf_14_uniform,19.845998202803376,2,m,0,14,1
9539,2mt_14_uniform,38.37316770869979,2,m,1,14,1
9540,2tfNone_14_exponential,17.48540528555011,2,t,0,14,0
9541,2ff_14_exponential,166.0788443092312,2,f,0,14,0
9542,2ft_14_exponential,531.0729705040542,2,f,1,14,0
9543,2tt_14_exponential,259.5939136420575,2,t,1,14,0
9544,2mf_14_exponential,162.35743564087576,2,m,0,14,0
9545,2mt_14_exponential,531.8768654491375,2,m,1,14,0
9546,2tfNone_14_exponential,15.68326554005849,2,t,0,14,0
9547,2ff_14_exponential,187.2353921805677,2,f,0,14,0
9548,2ft_14_exponential,570.5655089470446,2,f,1,14,0
9549,2tt_14_exponential,271.3641464895464,2,t,1,14,0
9550,2mf_14_exponential,182.0962340907522,2,m,0,14,0
9551,2mt_14_exponential,529.6805641138817,2,m,1,14,0
9552,2tfNone_14_exponential,10.184155635100192,2,t,0,14,0
9553,2ff_14_exponential,162.90972215828018,2,f,0,14,0
9554,2ft_14_exponential,541.0304982161357,2,f,1,14,0
9555,2tt_14_exponential,262.9885929085138,2,t,1,14,0
9556,2mf_14_exponential,212.91457349077658,2,m,0,14,0
9557,2mt_14_exponential,523.0277239305772,2,m,1,14,0
9558,2tfNone_14_exponential,19.517562194082668,2,t,0,14,0
9559,2ff_14_exponential,230.35700731039242,2,f,0,14,0
9560,2ft_14_exponential,543.493790212915,2,f,1,14,0
9561,2tt_14_exponential,263.28501666445055,2,t,1,14,0
9562,2mf_14_exponential,181.0463088834479,2,m,0,14,0
9563,2mt_14_exponential,525.4136465681112,2,m,1,14,0
9564,2tfNone_14_exponential,9.83730705020672,2,t,0,14,0
9565,2ff_14_exponential,161.43479877937327,2,f,0,14,0
9566,2ft_14_exponential,515.8769233063251,2,f,1,14,0
